IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
46.3.107.99,10716,443,true,HKG,Asia Pacific,Hong Kong,27,38.75
46.3.110.5,49758,443,true,HKG,Asia Pacific,Hong Kong,33,31.56
46.3.110.5,46664,443,true,HKG,Asia Pacific,Hong Kong,34,28.25
46.3.110.5,41259,443,true,HKG,Asia Pacific,Hong Kong,32,26.14
46.3.107.123,14559,443,true,HKG,Asia Pacific,Hong Kong,38,24.97
37.123.196.135,443,80,false,HKG,Asia Pacific,Hong Kong,99,18.60
46.3.105.217,10024,443,true,HKG,Asia Pacific,Hong Kong,34,18.02
46.3.110.5,27361,443,true,HKG,Asia Pacific,Hong Kong,34,11.11
46.3.110.5,38255,443,true,HKG,Asia Pacific,Hong Kong,30,10.58
46.3.105.217,10020,443,true,HKG,Asia Pacific,Hong Kong,38,10.54
154.9.246.174,47184,443,true,HKG,Asia Pacific,Hong Kong,62,7.16
154.9.246.174,22396,443,true,HKG,Asia Pacific,Hong Kong,55,6.52
141.11.77.158,27312,443,true,HKG,Asia Pacific,Hong Kong,194,5.70
154.9.246.174,23989,443,true,HKG,Asia Pacific,Hong Kong,61,5.47
141.11.77.125,24426,443,true,HKG,Asia Pacific,Hong Kong,225,4.03
154.9.246.174,28263,443,true,HKG,Asia Pacific,Hong Kong,57,3.91
154.9.246.174,53831,443,true,HKG,Asia Pacific,Hong Kong,69,3.82
154.9.246.174,22516,443,true,HKG,Asia Pacific,Hong Kong,69,3.11
154.9.246.174,41482,443,true,HKG,Asia Pacific,Hong Kong,60,3.02
141.11.91.177,40110,443,true,HKG,Asia Pacific,Hong Kong,218,2.86
154.9.246.174,11937,443,true,HKG,Asia Pacific,Hong Kong,66,2.86
154.9.246.174,56111,443,true,HKG,Asia Pacific,Hong Kong,60,2.72
154.9.246.174,50121,443,true,HKG,Asia Pacific,Hong Kong,65,2.61
202.181.26.195,80,80,false,HKG,Asia Pacific,Hong Kong,54,2.57
154.9.246.174,42162,443,true,HKG,Asia Pacific,Hong Kong,64,2.37
89.213.239.190,48832,443,true,HKG,Asia Pacific,Hong Kong,176,2.09
141.11.216.250,12132,443,true,HKG,Asia Pacific,Hong Kong,215,1.58
178.253.32.30,52126,443,true,HKG,Asia Pacific,Hong Kong,217,1.21
103.229.124.246,3616,80,false,HKG,Asia Pacific,Hong Kong,61,1.17
103.229.127.208,3616,80,false,HKG,Asia Pacific,Hong Kong,30,0.99
42.3.74.25,443,443,true,HKG,Asia Pacific,Hong Kong,236,0.95
43.247.134.147,17043,443,true,HKG,Asia Pacific,Hong Kong,205,0.89
178.253.32.134,56145,443,true,HKG,Asia Pacific,Hong Kong,187,0.58
138.19.30.55,443,443,true,HKG,Asia Pacific,Hong Kong,35,0.56
219.76.13.183,443,443,true,HKG,Asia Pacific,Hong Kong,339,0.54
183.232.159.226,2052,2086,false,HKG,Asia Pacific,Hong Kong,31,0.28
103.242.3.203,33999,443,true,HKG,Asia Pacific,Hong Kong,66,0.27
178.253.32.28,2024,443,true,HKG,Asia Pacific,Hong Kong,192,0.19
152.32.240.153,34237,2096,true,HKG,Asia Pacific,Hong Kong,36,0.13
165.154.43.92,35181,443,true,HKG,Asia Pacific,Hong Kong,30,0.13
103.149.27.36,34237,2096,true,HKG,Asia Pacific,Hong Kong,36,0.12
38.6.167.31,12666,443,true,HKG,Asia Pacific,Hong Kong,128,0.10
141.11.77.234,31191,8443,true,HKG,Asia Pacific,Hong Kong,141,0.08
38.181.25.31,52001,443,true,HKG,Asia Pacific,Hong Kong,131,0.07
103.20.223.16,50048,443,true,HKG,Asia Pacific,Hong Kong,65,0.07
141.11.77.234,31148,0,true,HKG,Asia Pacific,Hong Kong,144,0.05
38.181.35.164,36350,443,true,HKG,Asia Pacific,Hong Kong,26,0.04
47.89.54.189,443,443,true,HKG,Asia Pacific,Hong Kong,32,0.03
219.76.13.181,443,443,true,HKG,Asia Pacific,Hong Kong,342,0.03
141.11.77.234,31128,0,true,HKG,Asia Pacific,Hong Kong,151,0.02
219.76.13.169,443,443,true,HKG,Asia Pacific,Hong Kong,342,0.02
58.176.95.46,443,443,true,HKG,Asia Pacific,Hong Kong,71,0.01
206.237.21.220,24554,443,true,HKG,Asia Pacific,Hong Kong,59,0.01
91.229.132.209,59430,443,true,HKG,Asia Pacific,Hong Kong,196,0.01
103.226.124.218,7999,80,false,HKG,Asia Pacific,Hong Kong,61,0.01
157.254.32.25,21640,443,true,HKG,Asia Pacific,Hong Kong,150,0.01
38.181.35.164,37459,443,true,HKG,Asia Pacific,Hong Kong,34,0.01
157.254.32.25,37769,443,true,HKG,Asia Pacific,Hong Kong,147,0.01
157.254.32.25,58746,443,true,HKG,Asia Pacific,Hong Kong,152,0.00
141.11.77.234,31169,0,true,HKG,Asia Pacific,Hong Kong,156,0.00
141.11.77.234,31177,0,true,HKG,Asia Pacific,Hong Kong,159,0.00
141.11.77.234,31190,0,true,HKG,Asia Pacific,Hong Kong,172,0.00
141.11.77.234,31189,0,true,HKG,Asia Pacific,Hong Kong,172,0.00
141.11.77.234,31180,8443,true,HKG,Asia Pacific,Hong Kong,139,0.00
38.147.189.93,9091,80,false,HKG,Asia Pacific,Hong Kong,58,0.00
